,Unnamed: 0,index,ano_resposta_x,ano_resposta_y,pct_negadas,nome_do_orgao
0,0,2013.0,165,3,0.0181818181818181,"VALEC – Engenharia, Construções e Ferrovias S.A."
1,1,2014.0,206,5,0.0242718446601941,"VALEC – Engenharia, Construções e Ferrovias S.A."
2,2,2015.0,376,120,0.3191489361702128,"VALEC – Engenharia, Construções e Ferrovias S.A."
3,3,2016.0,400,11,0.0275,"VALEC – Engenharia, Construções e Ferrovias S.A."
4,4,2017.0,178,17,0.095505617977528,"VALEC – Engenharia, Construções e Ferrovias S.A."
5,5,2018.0,158,9,0.0569620253164556,"VALEC – Engenharia, Construções e Ferrovias S.A."
6,6,2019.0,203,14,0.0689655172413793,"VALEC – Engenharia, Construções e Ferrovias S.A."
7,7,2020.0,265,59,0.2226415094339622,"VALEC – Engenharia, Construções e Ferrovias S.A."
8,8,2021.0,101,14,0.1386138613861386,"VALEC – Engenharia, Construções e Ferrovias S.A."
0,0,2013.0,7582,1418,0.1870218939593774,INSS – Instituto Nacional do Seguro Social
1,1,2014.0,5187,1485,0.2862926547137073,INSS – Instituto Nacional do Seguro Social
2,2,2015.0,4276,804,0.1880261927034612,INSS – Instituto Nacional do Seguro Social
3,3,2016.0,6144,657,0.10693359375,INSS – Instituto Nacional do Seguro Social
4,4,2017.0,7061,890,0.1260444696218665,INSS – Instituto Nacional do Seguro Social
5,5,2018.0,9023,892,0.0988584727917544,INSS – Instituto Nacional do Seguro Social
6,6,2019.0,5078,568,0.1118550610476565,INSS – Instituto Nacional do Seguro Social
7,7,2020.0,5960,898,0.1506711409395973,INSS – Instituto Nacional do Seguro Social
8,8,2021.0,5936,420,0.070754716981132,INSS – Instituto Nacional do Seguro Social
0,0,2013.0,2231,18,0.0080681308830121,MEC – Ministério da Educação
1,1,2014.0,3015,30,0.0099502487562189,MEC – Ministério da Educação
2,2,2015.0,3144,77,0.0244910941475826,MEC – Ministério da Educação
3,3,2016.0,2511,114,0.045400238948626,MEC – Ministério da Educação
4,4,2017.0,2531,60,0.0237060450414855,MEC – Ministério da Educação
5,5,2018.0,2524,80,0.0316957210776545,MEC – Ministério da Educação
6,6,2019.0,3590,168,0.0467966573816156,MEC – Ministério da Educação
7,7,2020.0,3447,244,0.0707861908906295,MEC – Ministério da Educação
8,8,2021.0,2977,147,0.049378569029224,MEC – Ministério da Educação
0,0,2013.0,159,2,0.0125786163522012,UNIFESP – Universidade Federal de São Paulo
1,1,2014.0,143,5,0.0349650349650349,UNIFESP – Universidade Federal de São Paulo
2,2,2015.0,111,4,0.036036036036036,UNIFESP – Universidade Federal de São Paulo
3,3,2016.0,148,3,0.0202702702702702,UNIFESP – Universidade Federal de São Paulo
4,4,2017.0,217,4,0.0184331797235023,UNIFESP – Universidade Federal de São Paulo
5,5,2018.0,260,22,0.0846153846153846,UNIFESP – Universidade Federal de São Paulo
6,6,2019.0,295,21,0.0711864406779661,UNIFESP – Universidade Federal de São Paulo
7,7,2020.0,286,16,0.0559440559440559,UNIFESP – Universidade Federal de São Paulo
8,8,2021.0,226,16,0.0707964601769911,UNIFESP – Universidade Federal de São Paulo
0,0,2014.0,140,1,0.0071428571428571,IPEA – Fundação Instituto de Pesquisa Econômica Aplicada
1,1,2015.0,67,3,0.044776119402985,IPEA – Fundação Instituto de Pesquisa Econômica Aplicada
2,2,2018.0,116,5,0.043103448275862,IPEA – Fundação Instituto de Pesquisa Econômica Aplicada
3,3,2019.0,155,5,0.032258064516129,IPEA – Fundação Instituto de Pesquisa Econômica Aplicada
4,4,2020.0,147,2,0.0136054421768707,IPEA – Fundação Instituto de Pesquisa Econômica Aplicada
0,0,2013.0,23,1,0.0434782608695652,IMBEL – Indústria de Material Bélico do Brasil
1,1,2015.0,24,1,0.0416666666666666,IMBEL – Indústria de Material Bélico do Brasil
2,2,2016.0,68,6,0.088235294117647,IMBEL – Indústria de Material Bélico do Brasil
3,3,2017.0,58,3,0.0517241379310344,IMBEL – Indústria de Material Bélico do Brasil
4,4,2018.0,39,1,0.0256410256410256,IMBEL – Indústria de Material Bélico do Brasil
5,5,2019.0,63,3,0.0476190476190476,IMBEL – Indústria de Material Bélico do Brasil
6,6,2020.0,54,9,0.1666666666666666,IMBEL – Indústria de Material Bélico do Brasil
7,7,2021.0,92,3,0.0326086956521739,IMBEL – Indústria de Material Bélico do Brasil
0,0,2013.0,195,24,0.123076923076923,DEPEN – Departamento Penitenciário Nacional
1,1,2014.0,175,12,0.0685714285714285,DEPEN – Departamento Penitenciário Nacional
2,2,2015.0,155,10,0.064516129032258,DEPEN – Departamento Penitenciário Nacional
3,3,2016.0,215,7,0.0325581395348837,DEPEN – Departamento Penitenciário Nacional
4,4,2017.0,374,3,0.0080213903743315,DEPEN – Departamento Penitenciário Nacional
5,5,2018.0,374,3,0.0080213903743315,DEPEN – Departamento Penitenciário Nacional
6,6,2019.0,494,11,0.0222672064777327,DEPEN – Departamento Penitenciário Nacional
7,7,2020.0,455,30,0.0659340659340659,DEPEN – Departamento Penitenciário Nacional
8,8,2021.0,369,22,0.059620596205962,DEPEN – Departamento Penitenciário Nacional
0,0,2013.0,2725,136,0.0499082568807339,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
1,1,2014.0,2316,61,0.0263385146804835,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
2,2,2015.0,2427,70,0.0288421920065925,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
3,3,2016.0,1694,23,0.0135773317591499,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
4,4,2017.0,2170,164,0.0755760368663594,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
5,5,2018.0,2423,518,0.213784564589352,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
6,6,2019.0,3161,302,0.0955393862701676,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
7,7,2020.0,2421,135,0.0557620817843866,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
8,8,2021.0,3275,129,0.0393893129770992,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
0,0,2013.0,2055,63,0.0306569343065693,MCIDADANIA - Ministério da Cidadania (Desenvolvimento Social e Esporte)
1,1,2014.0,1777,58,0.0326392796848621,MCIDADANIA - Ministério da Cidadania (Desenvolvimento Social e Esporte)
2,2,2015.0,1529,42,0.027468933943754,MCIDADANIA - Ministério da Cidadania (Desenvolvimento Social e Esporte)
3,3,2016.0,1808,145,0.0801991150442477,MCIDADANIA - Ministério da Cidadania (Desenvolvimento Social e Esporte)
4,4,2017.0,1635,71,0.0434250764525993,MCIDADANIA - Ministério da Cidadania (Desenvolvimento Social e Esporte)
5,5,2018.0,1948,64,0.0328542094455852,MCIDADANIA - Ministério da Cidadania (Desenvolvimento Social e Esporte)
6,6,2019.0,1632,70,0.0428921568627451,MCIDADANIA - Ministério da Cidadania (Desenvolvimento Social e Esporte)
7,7,2020.0,23917,460,0.0192331814190742,MCIDADANIA - Ministério da Cidadania (Desenvolvimento Social e Esporte)
8,8,2021.0,9789,277,0.0282970681377055,MCIDADANIA - Ministério da Cidadania (Desenvolvimento Social e Esporte)
0,0,2013.0,7694,1186,0.1541460878606706,ME - Ministério da Economia
1,1,2014.0,8513,1022,0.1200516856572301,ME - Ministério da Economia
2,2,2015.0,15938,1271,0.0797465177563056,ME - Ministério da Economia
3,3,2016.0,16354,1370,0.0837715543597896,ME - Ministério da Economia
4,4,2017.0,16128,1509,0.0935639880952381,ME - Ministério da Economia
5,5,2018.0,15056,1458,0.0968384697130712,ME - Ministério da Economia
6,6,2019.0,10699,1557,0.1455276194036825,ME - Ministério da Economia
7,7,2020.0,9088,1164,0.1280809859154929,ME - Ministério da Economia
8,8,2021.0,7136,1228,0.1720852017937219,ME - Ministério da Economia
0,0,2013.0,1653,84,0.0508166969147005,"MAPA – Ministério da Agricultura, Pecuária e Abastecimento"
1,1,2014.0,1935,90,0.0465116279069767,"MAPA – Ministério da Agricultura, Pecuária e Abastecimento"
2,2,2015.0,2278,114,0.0500438981562774,"MAPA – Ministério da Agricultura, Pecuária e Abastecimento"
3,3,2016.0,2257,133,0.0589277802392556,"MAPA – Ministério da Agricultura, Pecuária e Abastecimento"
4,4,2017.0,2487,119,0.047848813831926,"MAPA – Ministério da Agricultura, Pecuária e Abastecimento"
5,5,2018.0,2311,118,0.0510601471224578,"MAPA – Ministério da Agricultura, Pecuária e Abastecimento"
6,6,2019.0,3855,343,0.0889753566796368,"MAPA – Ministério da Agricultura, Pecuária e Abastecimento"
7,7,2020.0,3248,292,0.0899014778325123,"MAPA – Ministério da Agricultura, Pecuária e Abastecimento"
8,8,2021.0,2399,198,0.082534389328887,"MAPA – Ministério da Agricultura, Pecuária e Abastecimento"
0,0,2014.0,121,4,0.0330578512396694,CONAB – Companhia Nacional de Abastecimento
1,1,2015.0,144,6,0.0416666666666666,CONAB – Companhia Nacional de Abastecimento
2,2,2016.0,145,1,0.0068965517241379,CONAB – Companhia Nacional de Abastecimento
3,3,2017.0,155,7,0.0451612903225806,CONAB – Companhia Nacional de Abastecimento
4,4,2018.0,225,14,0.0622222222222222,CONAB – Companhia Nacional de Abastecimento
5,5,2019.0,212,23,0.1084905660377358,CONAB – Companhia Nacional de Abastecimento
6,6,2020.0,217,15,0.0691244239631336,CONAB – Companhia Nacional de Abastecimento
7,7,2021.0,161,11,0.0683229813664596,CONAB – Companhia Nacional de Abastecimento
0,0,2013.0,1062,67,0.0630885122410546,CEX – Comando do Exército
1,1,2014.0,2032,1171,0.5762795275590551,CEX – Comando do Exército
2,2,2015.0,909,56,0.0616061606160616,CEX – Comando do Exército
3,3,2016.0,779,117,0.1501925545571245,CEX – Comando do Exército
4,4,2017.0,1112,197,0.1771582733812949,CEX – Comando do Exército
5,5,2018.0,1002,94,0.0938123752495009,CEX – Comando do Exército
6,6,2019.0,1031,90,0.08729388942774,CEX – Comando do Exército
7,7,2020.0,1313,207,0.1576542269611576,CEX – Comando do Exército
8,8,2021.0,1254,216,0.1722488038277512,CEX – Comando do Exército
0,0,2013.0,443,49,0.110609480812641,MTur - Ministério do Turismo (Turismo e Cultura)
