,Unnamed: 0,index,ano_resposta_x,ano_resposta_y,pct_negadas,nome_do_orgao
0,0,2013.0,165,1,0.006060606060606,"VALEC – Engenharia, Construções e Ferrovias S.A."
1,1,2014.0,206,3,0.0145631067961165,"VALEC – Engenharia, Construções e Ferrovias S.A."
2,2,2015.0,376,168,0.4468085106382978,"VALEC – Engenharia, Construções e Ferrovias S.A."
3,3,2016.0,400,2,0.005,"VALEC – Engenharia, Construções e Ferrovias S.A."
4,4,2018.0,158,3,0.0189873417721519,"VALEC – Engenharia, Construções e Ferrovias S.A."
5,5,2020.0,265,11,0.0415094339622641,"VALEC – Engenharia, Construções e Ferrovias S.A."
6,6,2021.0,101,5,0.0495049504950495,"VALEC – Engenharia, Construções e Ferrovias S.A."
0,0,2013.0,7582,1980,0.261144816671063,INSS – Instituto Nacional do Seguro Social
1,1,2014.0,5187,1657,0.3194524773472142,INSS – Instituto Nacional do Seguro Social
2,2,2015.0,4276,1397,0.3267072029934518,INSS – Instituto Nacional do Seguro Social
3,3,2016.0,6144,1986,0.3232421875,INSS – Instituto Nacional do Seguro Social
4,4,2017.0,7061,1593,0.2256054383231837,INSS – Instituto Nacional do Seguro Social
5,5,2018.0,9023,1899,0.210462152277513,INSS – Instituto Nacional do Seguro Social
6,6,2019.0,5078,348,0.0685309176841276,INSS – Instituto Nacional do Seguro Social
7,7,2020.0,5960,696,0.1167785234899328,INSS – Instituto Nacional do Seguro Social
8,8,2021.0,5936,252,0.0424528301886792,INSS – Instituto Nacional do Seguro Social
0,0,2013.0,2231,4,0.0017929179740026,MEC – Ministério da Educação
1,1,2014.0,3015,1,0.0003316749585406,MEC – Ministério da Educação
2,2,2015.0,3144,6,0.0019083969465648,MEC – Ministério da Educação
3,3,2016.0,2511,8,0.0031859816806053,MEC – Ministério da Educação
4,4,2017.0,2531,4,0.0015804030027657,MEC – Ministério da Educação
5,5,2018.0,2524,25,0.009904912836767,MEC – Ministério da Educação
6,6,2019.0,3590,45,0.0125348189415041,MEC – Ministério da Educação
7,7,2020.0,3447,64,0.0185668697418044,MEC – Ministério da Educação
8,8,2021.0,2977,24,0.0080618071884447,MEC – Ministério da Educação
0,0,2018.0,260,11,0.0423076923076923,UNIFESP – Universidade Federal de São Paulo
1,1,2019.0,295,21,0.0711864406779661,UNIFESP – Universidade Federal de São Paulo
2,2,2020.0,286,13,0.0454545454545454,UNIFESP – Universidade Federal de São Paulo
3,3,2021.0,226,6,0.0265486725663716,UNIFESP – Universidade Federal de São Paulo
0,0,2014.0,140,1,0.0071428571428571,IPEA – Fundação Instituto de Pesquisa Econômica Aplicada
1,1,2018.0,116,1,0.0086206896551724,IPEA – Fundação Instituto de Pesquisa Econômica Aplicada
2,2,2020.0,147,2,0.0136054421768707,IPEA – Fundação Instituto de Pesquisa Econômica Aplicada
0,0,2013.0,23,2,0.0869565217391304,IMBEL – Indústria de Material Bélico do Brasil
1,1,2016.0,68,4,0.0588235294117647,IMBEL – Indústria de Material Bélico do Brasil
2,2,2017.0,58,3,0.0517241379310344,IMBEL – Indústria de Material Bélico do Brasil
3,3,2019.0,63,2,0.0317460317460317,IMBEL – Indústria de Material Bélico do Brasil
4,4,2020.0,54,8,0.1481481481481481,IMBEL – Indústria de Material Bélico do Brasil
5,5,2021.0,92,6,0.0652173913043478,IMBEL – Indústria de Material Bélico do Brasil
0,0,2013.0,195,22,0.1128205128205128,DEPEN – Departamento Penitenciário Nacional
1,1,2014.0,175,15,0.0857142857142857,DEPEN – Departamento Penitenciário Nacional
2,2,2015.0,155,6,0.0387096774193548,DEPEN – Departamento Penitenciário Nacional
3,3,2016.0,215,6,0.027906976744186,DEPEN – Departamento Penitenciário Nacional
4,4,2019.0,494,22,0.0445344129554655,DEPEN – Departamento Penitenciário Nacional
5,5,2020.0,455,36,0.0791208791208791,DEPEN – Departamento Penitenciário Nacional
6,6,2021.0,369,26,0.070460704607046,DEPEN – Departamento Penitenciário Nacional
0,0,2013.0,2725,19,0.0069724770642201,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
1,1,2014.0,2316,7,0.0030224525043177,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
2,2,2015.0,2427,20,0.0082406262875978,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
3,3,2016.0,1694,7,0.0041322314049586,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
4,4,2017.0,2170,69,0.0317972350230414,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
5,5,2018.0,2423,75,0.0309533635988444,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
6,6,2019.0,3161,112,0.0354318253717178,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
7,7,2020.0,2421,70,0.0289136720363486,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
8,8,2021.0,3275,63,0.019236641221374,INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
0,0,2013.0,2055,12,0.0058394160583941,MCIDADANIA - Ministério da Cidadania (Desenvolvimento Social e Esporte)
1,1,2014.0,1777,16,0.0090039392234102,MCIDADANIA - Ministério da Cidadania (Desenvolvimento Social e Esporte)
