,index,OrgaoDestinatario_x,OrgaoDestinatario_y,pct_negados_sigilo
128,COAF - Conselho de Controle de Atividades Financeiras,21,62,0.3387096774193548
16,GSI-PR – Gabinete de Segurança Institucional da Presidência da República,642,2202,0.29155313351498635
152,Transportadora Brasileira Gasoduto Bolívia-Brasil S.A.,16,60,0.26666666666666666
5,BB – Banco do Brasil S.A.,2578,10746,0.23990321980271728
1,CEF – Caixa Econômica Federal,7573,32923,0.23002156547094738
0,INSS – Instituto Nacional do Seguro Social,11808,56264,0.20986776624484574
4,DPF – Departamento de Polícia Federal,2738,15255,0.1794821370042609
11,"ANP – Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",1055,6671,0.1581472043171938
73,CEITEC/S.A. – Centro Nacional de Tecnologia Eletrônica Avançada S.A.,57,370,0.15405405405405406
3,BACEN – Banco Central do Brasil,3255,21742,0.1497102382485512
28,BNB – Banco do Nordeste do Brasil S.A.,325,2401,0.13536026655560182
26,CVM – Comissão de Valores Mobiliários,350,2690,0.13011152416356878
20,MME – Ministério de Minas e Energia,508,3989,0.12735021308598646
8,ANTAQ – Agência Nacional de Transportes Aquaviários,1576,13894,0.11343025766517921
15,BNDES – Banco Nacional de Desenvolvimento Econômico e Social,660,5822,0.11336310546204054
54,BASA – Banco da Amazônia S.A.,101,1034,0.097678916827853
83,Companhia de Geração e Transmissão de Energia Elétrica do Sul do Brasil - CGT ELETROSUL,46,480,0.09583333333333334
21,COMAER – Comando da Aeronáutica,480,5046,0.09512485136741974
37,"VALEC – Engenharia, Construções e Ferrovias S.A.",193,2054,0.09396299902629017
70,SUFRAMA – Superintendência da Zona Franca de Manaus,63,685,0.09197080291970802
157,EBSERH - HE-UFPEL - Hospital Escola da Universidade Federal de Pelotas,14,155,0.09032258064516129
58,FURNAS – Furnas Centrais Elétricas S.A.,83,944,0.08792372881355932
42,FIOCRUZ – Fundação Oswaldo Cruz,156,1828,0.08533916849015317
75,HEMOBRÁS – Empresa Brasileira de Hemoderivados e Biotecnologia,54,633,0.08530805687203792
36,TRANSPETRO - Petrobras Transporte S.A,195,2328,0.08376288659793814
97,NUCLEP – Nuclebrás Equipamentos Pesados S.A.,33,394,0.08375634517766498
200,Liquigás Distribuidora S.A.,7,84,0.08333333333333333
47,EPE – Empresa de Pesquisa Energética,129,1571,0.08211330362826226
64,BB Tecnologia e Serviços,74,904,0.08185840707964602
30,CMAR – Comando da Marinha,315,4009,0.07857321027687703
14,CEX – Comando do Exército,813,10519,0.07728871565738188
59,CMB – Casa da Moeda do Brasil,81,1049,0.07721639656816015
10,PETROBRAS – Petróleo Brasileiro S.A.,1522,20244,0.07518277020351709
13,CGU – Controladoria-Geral da União,873,11921,0.07323211140005033
170,EBSERH - HUMAP-UFMS - Hospital Universitário Maria Aparecida Pedrossian,12,169,0.07100591715976332
265,Órgão para Teste -  pedidos endereçados a esse órgão não serão respondidos/reencaminhados,2,29,0.06896551724137931
196,ANPD - Autoridade Nacional de Proteção de Dados,7,103,0.06796116504854369
290,IRB-Brasil Resseguros S.A.,1,15,0.06666666666666667
119,HFA – Hospital das Forças Armadas,23,345,0.06666666666666667
40,SERPRO – Serviço Federal de Processamento de Dados,167,2506,0.06664006384676775
18,MRE – Ministério das Relações Exteriores,557,8407,0.06625431188295468
2,ME - Ministério da Economia,7064,106732,0.06618446201701458
22,DPRF – Departamento de Polícia Rodoviária Federal,457,7327,0.06237204858741641
7,ANVISA – Agência Nacional de Vigilância Sanitária,1578,25449,0.06200636567252151
51,ANCINE – Agência Nacional do Cinema,120,1938,0.06191950464396285
86,TELEBRÁS – Telecomunicações Brasileiras S.A.,44,750,0.058666666666666666
32,ANM - Agência Nacional de Mineração,269,4589,0.058618435388973635
12,ECT – Empresa Brasileira de Correios e Telégrafos,984,17066,0.057658502285245515
115,IMBEL – Indústria de Material Bélico do Brasil,25,438,0.05707762557077625
68,PREVIC – Superintendência Nacional de Previdência Complementar,66,1187,0.05560235888795282
222,Pré-Sal Petróleo S.A - Empresa Brasileira de Administração de Petróleo e Gás Natural S.A.,5,93,0.053763440860215055
29,ANTT – Agência Nacional de Transportes Terrestres,316,6146,0.05141555483241132
19,MINFRA - Ministério da Infraestrutura,539,10741,0.05018154734196071
283,FUNPRESP  - Fundação de Previdência Complementar do Servidor Público Federal do Poder Executivo,1,20,0.05
127,ELETRONUCLEAR – Eletrobrás Termonuclear S.A.,22,449,0.04899777282850779
45,DEPEN – Departamento Penitenciário Nacional,134,2815,0.047602131438721135
153,EMGEA – Empresa Gestora de Ativos,15,321,0.04672897196261682
24,IBGE – Fundação Instituto Brasileiro de Geografia e Estatística,430,9226,0.04660741383047908
6,ANEEL – Agência Nacional de Energia Elétrica,1606,34824,0.04611762003216173
9,MS – Ministério da Saúde,1573,35876,0.043845467722154086
67,FINEP – Financiadora de Estudos e Projetos,71,1680,0.042261904761904764
106,TRENSURB – Empresa de Trens Urbanos de Porto Alegre S.A.,29,699,0.04148783977110158
41,MD – Ministério da Defesa,159,3859,0.04120238403731537
91,CPRM – Companhia de Pesquisa de Recursos Minerais,36,946,0.03805496828752643
33,ANS – Agência Nacional de Saúde Suplementar,228,6055,0.037654830718414536
57,UFF – Universidade Federal Fluminense,84,2259,0.03718459495351926
34,SGPR – Secretaria-Geral da Presidência da República,209,5682,0.03678282294966561
166,EBSERH - HUPAA-UFAL - Hospital Universitário Professor Alberto Antunes,13,355,0.036619718309859155
53,ELETROBRÁS – Centrais Elétricas Brasileiras S.A.,105,2928,0.035860655737704916
181,HNSC – Hospital Nossa Senhora da Conceição S.A.,10,284,0.035211267605633804
25,"MCTI – Ministério da Ciência, Tecnologia, Inovações",351,10022,0.03502294951107563
82,CADE – Conselho Administrativo de Defesa Econômica,46,1323,0.03476946334089191
112,ELETRONORTE – Centrais Elétricas do Norte do Brasil S.A.,26,751,0.03462050599201065
46,UNB – Fundação Universidade de Brasília,134,3882,0.034518289541473464
204,EBSERH - MCO-UFBA - Maternidade Climério de Oliveira,6,174,0.034482758620689655
147,MCOM - Ministério das Comunicações,17,507,0.03353057199211045
44,Autoridade Portuária de Santos S.A.,139,4160,0.03341346153846154
131,CHESF – Companhia Hidro Elétrica do São Francisco,21,632,0.03322784810126582
88,UFABC – Fundação Universidade Federal do ABC,43,1301,0.033051498847040735
78,UFLA – Universidade Federal de Lavras,49,1492,0.03284182305630027
120,CDRJ – Companhia Docas do Rio de Janeiro,23,722,0.03185595567867036
221,EBSERH - HUSM-UFSM - Hospital Universitário de Santa Maria,5,158,0.03164556962025317
93,"IFRS – Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",34,1078,0.03153988868274583
94,"IF GOIANO – Instituto Federal de Educação, Ciência e Tecnologia Goiano",33,1053,0.03133903133903134
285,UFCAT - Universidade Federal de Catalão,1,32,0.03125
239,EBSERH - HU-UFSCAR - Hospital Universitário da Universidade Federal de São Carlos,4,131,0.030534351145038167
102,CODESA – Companhia Docas do Espírito Santo,30,988,0.030364372469635626
182,CODERN – Companhia Docas do Rio Grande do Norte,10,335,0.029850746268656716
211,ESG – Escola Superior de Guerra,6,202,0.0297029702970297
27,INCRA – Instituto Nacional de Colonização e Reforma Agrária,327,11331,0.02885888271114641
198,INPA – Instituto Nacional de Pesquisas da Amazônia,7,244,0.028688524590163935
228,EBSERH - CHC-UFC (MEAC) - Maternidade Escola Assis Chateaubriand,4,141,0.028368794326241134
87,CONAB – Companhia Nacional de Abastecimento,43,1523,0.028233749179251477
76,UNIFESP – Universidade Federal de São Paulo,52,1851,0.028092922744462453
17,"MAPA – Ministério da Agricultura, Pecuária e Abastecimento",630,22456,0.02805486284289277
184,EBSERH - HUPES-UFBA - Complexo Hospitalar Universitário Professor Edgard Santos,9,322,0.027950310559006212
95,"IFSC – Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina",33,1184,0.02787162162162162
219,EBSERH - HU-FURG - Hospital Universitário Dr. Miguel Riet Côrrea Júnior,5,184,0.02717391304347826
98,EBC – Empresa Brasil de Comunicação S.A.,33,1227,0.02689486552567237
175,EBSERH - HU-UFMA - Hospital Universitário da Universidade Federal do Maranhão,10,373,0.02680965147453083
215,EBSERH - HU-UFJF - Hospital Universitário de Juiz de Fora,5,187,0.026737967914438502
143,DNOCS – Departamento Nacional de Obras Contra as Secas,18,684,0.02631578947368421
101,"IFMT – Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso",30,1147,0.026155187445510025
158,VPR – Vice-Presidência da República,13,516,0.025193798449612403
35,FUNAI – Fundação Nacional do Índio,208,8275,0.02513595166163142
63,EMBRAPA – Empresa Brasileira de Pesquisa Agropecuária,75,2998,0.025016677785190126
212,EBSERH - HUGV-UFAM – Hospital Universitário Getúlio Vargas,6,241,0.024896265560165973
90,"IFRN – Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte",39,1582,0.02465233881163085
62,INFRAERO – Empresa Brasileira de Infra-Estrutura Aeroportuária,76,3123,0.024335574767851424
84,FUNASA – Fundação Nacional de Saúde,46,1897,0.024248813916710597
56,UFRJ – Universidade Federal do Rio de Janeiro,84,3472,0.024193548387096774
134,ENAP – Fundação Escola Nacional de Administração Pública,19,793,0.02395964691046658
79,UFRGS – Universidade Federal do Rio Grande do Sul,49,2052,0.02387914230019493
50,ANAC – Agência Nacional de Aviação Civil,122,5236,0.023300229182582125
52,CAPES – Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,115,4959,0.023190159306311756
89,UFPR – Universidade Federal do Paraná,39,1688,0.0231042654028436
31,MJSP – Ministério da Justiça e Segurança Pública,281,12427,0.022612054397682466
172,EBSERH - HC-UFG - Hospital das Clínicas da Universidade Federal de Goiás,11,492,0.022357723577235773
121,"IFC – Instituto Federal de Educação, Ciência e Tecnologia Catarinense",23,1031,0.02230843840931135
74,UFSC – Universidade Federal de Santa Catarina,54,2441,0.02212208111429742
65,CC-PR – Casa Civil da Presidência da República,73,3371,0.021655295164639574
71,UFC – Universidade Federal do Ceará,58,2704,0.021449704142011833
187,HCPA – Hospital de Clínicas de Porto Alegre,8,376,0.02127659574468085
185,CODEBA – Companhia das Docas do Estado da Bahia,9,425,0.021176470588235293
99,"IFAL – Instituto Federal de Educação, Ciência e Tecnologia de Alagoas",31,1478,0.02097428958051421
142,CP II – Colégio Pedro II,18,868,0.020737327188940093
205,EBSERH – CHC-UFPR (HC e MVFA) Complexo Hospitalar de Clínicas da Universidade Federal do Paraná,6,293,0.020477815699658702
110,"IFPR – Instituto Federal de Educação, Ciência e Tecnologia do Paraná",27,1327,0.020346646571213264
