,texto_pedido,texto_resposta
5816,"Solicito, por gentileza, envio da íntegra de todas as informações que foram desclassificadas de sigilo neste órgão, no rol de informações desclassificadas mais recente possível (2018 ou, se não houver, 2017).  Os arquivos podem ser enviados em nuvem, com link para download. Favor especificar qual é o número de cada um deles, de forma que seja possível identificar se todos os documentos relatados no rol de informações desclassificadas estejam contemplados na resposta.  Além dos documentos em si, requeiro ainda as decisões por criação do sigilo de cada um desses documentos, nos moldes do artigo 28 da Lei de Acesso à Informação, contendo 1) assunto sobre o qual versa a informação,   2) fundamento da classificação, observados os critérios estabelecidos no art. 24,   3) indicação do prazo de sigilo, contado em anos, meses ou dias, ou do evento que defina o seu termo final, conforme limites previstos no art. 24, e   4) identificação da autoridade que a classificou. (nome e cargo). Reafirmo que é preciso enviar a íntegra desta decisão para cada pedido que deixou de ter sigilo no rol informado acima, e não apenas parte do motivo. É importante que esses documentos TAMBÉM estejam sinalizados com o número do documento que foi colocado sob sigilo, de forma que seja possível saber a qual decisão pertence cada pedido colocado sob sigilo.  Lembro que é dever do Estado apresentar informação originária, sem análises, interpretações ou consolidações, (art. 7o da LAI). - A Integridade (art. 7º, IV, LAI) diz respeito à informação completa, íntegra, desprovida de modificações ou condensações.  ","Prezado(a), Em atenção ao pedido de informação (NUP: 00077.000299/2019-27), este Serviço de Informação ao Cidadão do Gabinete de Segurança Institucional da Presidência da República (SIC-GSIPR) fica impossibilitado de atendê-lo por ter sido realizado de forma ampla, conforme o Art. 13 do Decreto n&deg, 7.724, de 16 de maio de 2012.  Art. 13. Não serão atendidos pedidos de acesso à informação:  I - genéricos,  II - desproporcionais ou desarrazoados, ou  III - que exijam trabalhos adicionais de análise, interpretação ou consolidação de dados e informações, ou serviço de produção ou tratamento de dados que não seja de competência do órgão ou entidade. Parágrafo único.  Na hipótese do inciso III do caput, o órgão ou entidade deverá, caso tenha conhecimento, indicar o local onde se encontram as informações a partir das quais o requerente poderá realizar a interpretação, consolidação ou tratamento de dados. As informações acima foram disponibilizadas pelo Gestor do Gabinete de Segurança Institucional da Presidência da República. Informamos que, de acordo com o art. 15 da Lei de Acesso à Informação (nº 12.527/2011) e com o art. 21 do Decreto nº 7.724/2012, há possibilidade de recurso no prazo de 10 (dez) dias, que será dirigido ao Secretário-Executivo Adjunto do Gabinete de Segurança Institucional da Presidência da República. Atenciosamente, Serviço de Informações ao Cidadão Palácio do Planalto - www.planalto.gov.br/acessoainformacao"
6197,"Com fundamento na lei 12.527/2011 requeiro: Lista de informações classificadas nos graus reservado, secreto, ultrassecreto desde 1/1/2019 até a presente data, com a respectiva data de classificação, responsável pela classificação de cada uma (nome e cargo/função), além de razão da classificação. Em separado, solicito lista de informações classificadas a partir 23/1/2019 por autoridades públicas, com base na autorização permitida pelo decreto nº 9.690, de 23 de janeiro de 2019, que alterou o artigo nº 30 do decreto 7.724 de 16 de maio de 2012. Solicito que as informações sejam fornecidas em formato digital, conforme estabelece o artigo 11, parágrafo 5º da lei 12.527/2011. Na eventualidade de as informações solicitadas não serem fornecidas, requeiro que seja apontada a razão da negativa bem como, se for o caso, eventual grau de classificação de sigilo (ultrassecreto, secreto ou reservado), nos termos do artigo 24, parágrafo 1º da lei 12.527/2011. Desde logo agradeço pela atenção e peço deferimento.","Prezado(a) Senhor(a), Em atenção ao pedido de informação (NUP: 00077.000313/2019-92), este Serviço de Informação ao Cidadão do Gabinete de Segurança Institucional da Presidência da República (SIC-GSIPR) fica impossibilitado de atendê-lo por ter sido realizado de forma ampla, conforme o Art. 13 do Decreto n&deg, 7.724, de 16 de maio de 2012.  Art. 13. Não serão atendidos pedidos de acesso à informação:  I - genéricos,  II - desproporcionais ou desarrazoados, ou  III - que exijam trabalhos adicionais de análise, interpretação ou consolidação de dados e informações, ou serviço de produção ou tratamento de dados que não seja de competência do órgão ou entidade.  Parágrafo único. Na hipótese do inciso III do caput, o órgão ou entidade deverá, caso tenha conhecimento, indicar o local onde se encontram as informações a partir das quais o requerente poderá realizar a interpretação, consolidação ou tratamento de dados As informações acima foram disponibilizadas pelo Gestor do Gabinete de Segurança Institucional da Presidência da República. Informamos que, de acordo com o art. 15 da Lei de Acesso à Informação (nº 12.527/2011) e com o art. 21 do Decreto nº 7.724/2012, há possibilidade de recurso no prazo de 10 (dez) dias, que será dirigido ao Secretário Executivo Adjunto do Gabinete de Segurança Institucional da Presidência da República. Atenciosamente, Serviço de Informações ao Cidadão Palácio do Planalto - www.planalto.gov.br/acessoainformacao"
12194,"Peço, para o período de 01/01/2019 até o dia 20/02/2019, os gastos da vice-presidência, as informações relativa aos seguranças da vice-presidência (pontos de trabalho, localização, salários) e por fim os dados de uso do carro oficial do vice-presidente (Trajeto, gastos, tempo de uso, etc.). "," Prezado Senhor, Em atenção ao pedido de informação (NUP: 00077.000551/2019-06), este Serviço de Informação ao Cidadão do Gabinete de Segurança Institucional da Presidência da República (SIC-GSIPR) encaminha os seguintes subsídios para a referida demanda:  1. O GSI/PR não divulga detalhes nem comenta sobre procedimentos operacionais que possam implicar em prejuízo à Segurança Presidencial, inclusive do Vice-Presidente e familiares,  2. O GSI/PR não divulga detalhes relativos a efetivo, medidas e equipamentos de segurança utilizados para a proteção das autoridades presidenciais, inclusive do Vice-Presidente e familiares,  3. A Lei 12.527/2011 diz o seguinte:   Art. 23. São consideradas imprescindíveis à segurança da sociedade ou do Estado e, portanto, passíveis de classificação as informações cuja divulgação ou acesso irrestrito possam:  .................................................................................................................................................. VII - pôr em risco a segurança de instituições ou de altas autoridades nacionais ou estrangeiras e seus familiares,  .................................................................................................................................................. Art. 24. A informação em poder dos órgãos e entidades públicas, observado o seu teor e em razão de sua imprescindibilidade à segurança da sociedade ou do Estado, poderá ser classificada como ultrassecreta, secreta ou reservada. ................................................................................................................................................... § 2o As informações que puderem colocar em risco a segurança do Presidente e Vice-Presidente da República e respectivos cônjuges e filhos(as) serão classificadas como reservadas e ficarão sob sigilo até o término do mandato em exercício ou do último mandato, em caso de reeleição.   4. O Decreto Nº 7.724/2012 diz o seguinte:   Art. 25. São passíveis de classificação as informações consideradas imprescindíveis à segurança da sociedade ou do Estado, cuja divulgação ou acesso irrestrito possam:  .................................................................................................................................................. VIII - pôr em risco a segurança de instituições ou de altas autoridades nacionais ou estrangeiras e seus familiares, .................................................................................................................................................. Art. 29. As informações que puderem colocar em risco a segurança do Presidente da República, Vice-Presidente e seus cônjuges e filhos serão classificadas no grau reservado e ficarão sob sigilo até o término do mandato em exercício ou do último mandato, em caso de reeleição.   As informações acima foram disponibilizadas pelo Gestor do Gabinete de Segurança Institucional da Presidência da República. Informamos que, de acordo com o art. 15 da Lei de Acesso à Informação (nº 12.527/2011) e com o art. 21 do Decreto nº 7.724/2012, há possibilidade de recurso no prazo de 10 (dez) dias, que será dirigido ao Secretário-Executivo Adjunto do Gabinete de Segurança Institucional da Presidência da República. Atenciosamente, Serviço de Informações ao Cidadão Palácio do Planalto - www.planalto.gov.br/acessoainformacao."
12478,"Em respeito à lei de acesso à informação e ao interesse público, solicito acesso aos processos administrativos instaurados pela Agência Brasileira de Inteligência entre 1 de janeiro de 2018 e 20 de fevereiro de 2019. Tendo em vista o pedido objetivo e a necessidade de fiscalização dos recursos públicos em prol da sociedade, aguardo o deferimento deste pleito, à luz dos princípios de transparência que instruem este governo."," Prezado,  Em atenção ao pedido de informação (NUP: 00077.000565/2019-11), este Serviço de Informação ao Cidadão do Gabinete de Segurança Institucional da Presidência da República (SIC-GSIPR) esclarece que:  1. O pedido de informações indaga acerca de dados não disponíveis na forma de transparência ativa, qual seja, ?acesso aos processos administrativos instaurados na Agência Brasileira de Inteligência entre 1º de janeiro de 2018 e 20 de fevereiro de 2019. O solicitante justifica o pedido ao argumento de necessidade de fiscalização dos recursos públicos em prol da sociedade.  2. Inicialmente, cumpre destacar que a solicitação em questão faz menção a acesso aos processos administrativos instaurados na Agência Brasileira de Inteligência.  Trata-se de pedido genérico, extremamente amplo e pouco específico, dado que diz respeito a TODOS os processos administrativos iniciados no âmbito da ABIN desde 01/01/2018 até 20/02/2019.  3. Note-se que a inespecificidade e a amplitude do pedido tornam bastante difíceis, talvez inviáveis, a própria compreensão apropriada do que se pede e o atendimento integral do pleito, já que o processo administrativo é a sequência ordenada de atos administrativos, interligados entre si, que visa a alcançar um determinado efeito previsto em lei.  Trata-se, pois, do modo por meio do qual a Administração Pública toma TODAS suas decisões. No âmbito da ABIN, considerando o largo período de 01/01/2018 até 20/02/2019 mencionado no pedido de informações, isso seguramente significaria milhares de processos, envolveria todas as unidades da ABIN na Sede e nos Estados e diria respeito a todas as questões tratadas no órgão, tanto nas áreas-meio como nas áreas-fim.  4. Dessa forma, resta óbvio que a solicitação em questão não atendeu aos requisitos mínimos estabelecidos pelo art. 10, caput, da Lei nº 12.527/11, que determina expressamente que o pedido deve conter ?a especificação da informação requerida. (...) Assim, diante dos fundamentos expostos, não será permitido o acesso aos dados solicitados no citado pedido.  Atenciosamente, Serviço de Informação ao Cidadão Gabinete de Segurança Institucional da Presidência da República.  Informamos que, de acordo com o art. 15 da Lei de Acesso à Informação (nº 12.527/2011) e com o art. 21 do Decreto nº 7.724/2012, há possibilidade de recurso no prazo de 10 (dez) dias, que será dirigido ao Secretário-Executivo Adjunto do Gabinete de Segurança Institucional da Presidência da República. Atenciosamente, Serviço de Informações ao Cidadão Palácio do Planalto - www.planalto.gov.br/acessoainformacao"
12538,"Em respeito à lei de acesso à informação e ao interesse público, solicito acesso aos processos administrativos instaurados pelo GSI entre 1 de janeiro de 2018 e 21 de fevereiro de 2019. À luz dos princípios de transparência que instruem o novo governo, aguardo o deferimento deste pleito."," Prezado Senhor, Em atenção ao pedido de informação (NUP: 00077.000571/2019-79), este Serviço de Informação ao Cidadão do Gabinete de Segurança Institucional da Presidência da República (SIC-GSIPR) esclarece o seguinte:  1. A solicitação em análise foi apresentada de forma abrangente, delimitando apenas o período para acessar todos os Processos Administrativos que tramitaram neste Gabinete, o que impossibilita a identificação e a compreensão do objeto da demanda.  2. Dessa forma, estando caracterizado o aspecto genérico do pedido, fica prejudicado o atendimento, nos termos do Art 13 do Decreto nº 7.724, de 16 de maio de 2012.  3. Por oportuno, convém esclarecer ao demandante que as solicitações dessa natureza devem observar os requisitos prescritos no inciso III do Art. 12 do supracitado Decreto nº 7.724, devendo apresentar informações específicas, conforme o que segue:  a) Número único de Processo (NUP),  b) Partes Envolvidas,  c) Bens Móveis ou Imóveis relacionados (Nomenclatura e características), e  d) outros dados esclarecedores. As informações acima foram disponibilizadas pelo Gestor do Gabinete de Segurança Institucional da Presidência da República. Informamos que, de acordo com o art. 15 da Lei de Acesso à Informação (nº 12.527/2011) e com o art. 21 do Decreto nº 7.724/2012, há possibilidade de recurso no prazo de 10 (dez) dias, que será dirigido ao Secretário-Executivo Adjunto do Gabinete de Segurança Institucional da Presidência da República. Atenciosamente, Serviço de Informações ao Cidadão Palácio do Planalto - www.planalto.gov.br/acessoainformacao."
15837,Solicito a desclassificação de informações classificadas em sigilo. Envio os códigos de Indexação de Documento que contém Informação Classificada (CIDIC): 00185.013861/2017-93.R.5.30/08/2017.31/12/2018.N 00185.013862/2017-38.R.5.30/08/2017.31/12/2018.N 00185.013854/2017-91.R.5.30/08/2017.31/12/2018.N 00185.013880/2017-10.R.5.30/08/2017.31/12/2018.N e 00185.013887/2017-31.R.5.30/08/2017.31/12/2018.N,"Prezada Senhora, Em atenção ao pedido de informação (NUP: 00077.000715/2019-97), este Serviço de Informação ao Cidadão do Gabinete de Segurança Institucional da Presidência da República (SIC-GSIPR) esclarece que conforme preconiza o Art. 45 do Decreto nº 7.724, de 16 de maio de 2012, a Autoridade máxima de cada órgão ou entidade publicará anualmente, até o dia 1º de junho, em sítio na Internet as informações que tenham sido desclassificadas os últimos 12(doze) meses. Informamos que, de acordo com o art. 15 da Lei de Acesso à Informação (nº 12.527/2011) e com o art. 21 do Decreto nº 7.724/2012, há possibilidade de recurso no prazo de 10 (dez) dias, que será dirigido ao Secretário-Executivo Adjunto do Gabinete de Segurança Institucional da Presidência da República. Atenciosamente, Serviço de Informações ao Cidadão Palácio do Planalto - www.planalto.gov.br/acessoainformacao. As informações acima foram disponibilizadas pelo Gestor do Gabinete de Segurança Institucional da Presidência da República. Atenciosamente, Serviço de Informações ao Cidadão Palácio do Planalto - www.planalto.gov.br/acessoainformacao."
19268,"No pedido 60502000534201925 ao Ministério da Defesa, o órgão informou que os dados pedidos estava mem posse da Abin. Solicito, por favor, o envio desses documentos pedidos (anexos que compuseram o ofício 058/SC3-2/CHOC/EMCFA-MD de 15 de fevereiro de 2013 - em anexo). Segundo o próprio ministério informou, estes não estão mais sob nenhum tipo de sigilo. ","Prezado Senhor,  Em atenção ao pedido de informação (NUP: 00077.000856/2019-18), este Serviço de Informação ao Cidadão do Gabinete de Segurança Institucional da Presidência da República (SIC-GSIPR) esclarece que se trata de pedido desarrazoado, nos termos do inciso II, Art. 13, do Decreto nº 7.724, de 16 de maio de 2012, uma vez que a revelação dos conteúdos das avaliações de risco de áreas críticas das referidas cidades podem acarretar prejuízos à segurança pública, posto que os fatores de risco, porventura levantados, tendem a perdurar.  As informações acima foram disponibilizadas pelo gestor do Gabinete de Segurança Institucional da Presidência da República Informamos que, de acordo com o art. 15 da Lei de Acesso à Informação (nº 12.527/2011) e com o art. 21 do Decreto nº 7.724/2012, há possibilidade de recurso no prazo de 10 (dez) dias, que será dirigido ao Secretário-Executivo Adjunto do Gabinete de Segurança Institucional da Presidência da República. Atenciosamente, Serviço de Informações ao Cidadão Palácio do Planalto - www.planalto.gov.br/acessoainformacao"
25564,"Requerente solicita o rol de documentos classificados no período entre 23/01/2019 e 26/02/2019, acompanhado de todas as informações que estejam abertas ao cidadão (bem como o tipo de classificação, prazo da classificação, data da produção do documento, data da solicitação de classificação, data de confirmação da classificação, assunto/título da informação, agente requerente, nível DAS/hierarquia do requerente).","Prezado(a) Senhor(a),  Em atenção ao pedido de informação (NUP: 00077.001148/2019-96), este Serviço de Informação ao Cidadão do Gabinete de Segurança Institucional da Presidência da República (SIC-GSIPR) esclarece que o Rol com os documentos classificados, os quais serão disponibilizados no site do GSI/PR no link ?http://www.gsi.gov.br/acesso-a-informacao/informacoes-classificadas, estará disponibilizado a partir de 1º de junho de 2019, conforme os termos do Inciso I do Art. 45 do Decreto nº 7.724, de 16 de maio de 2012: ? Art. 45. A autoridade máxima de cada órgão ou entidade publicará anualmente, até o dia 1&deg, de junho, em sítio na Internet: I - rol das informações desclassificadas nos últimos doze meses.  As informações acima foram disponibilizadas pelo Gabinete de Segurança Institucional da Presidência da República. Informamos que, de acordo com o art. 15 da Lei de Acesso à Informação (Lei nº 12.527/11) e com o art. 21 do Decreto 7.724/2012, há possibilidade de recurso no prazo de 10 (dez) dias, que será dirigido ao Secretário-Executivo Adjunto do Gabinete de Segurança Institucional da Presidência da República. Atenciosamente, Serviço de Informações ao Cidadão Palácio do Planalto - http://www2.planalto.gov.br/acesso-a-informacao/servico-de-informacao-ao-cidadao"
27825,"Solicitei a ouvidoria da ABIN o quantitativo de cargos vagos de AGENTE DE INTELIGENCIA na ABIN, eles me enviaram a seguinte resposta do protocolo  00137.002835/2019-77:  18/04/2019 09:15 Resposta Conclusiva Ouvidoria ABIN Prezado(a) Kellen, Agradecemos por sua manifestação. Esclarecemos que, para realizar um pedido de informação, em atendimento à Lei de Acesso à Informação (Lei n° 12.527/2011), endereçado à Agência Brasileira de Inteligência, você deverá encaminhá-lo ao Serviço de Informação ao Cidadão, conforme orientações abaixo:  Acesse o sistema e-SIC (Sistema Eletrônico do Serviço de Informações ao Cidadão), por meio do link www.acessoainformacao.gov.br/sistema.  Para proceder ao registro e facilitar o acompanhamento e o controle do seu pedido, realize cadastro no sistema, gerando login e senha, que serão utilizados sempre que precisar registrar novos pedidos ou para o acompanhamento das solicitações registradas. Atenciosamente, Ouvidoria ABIN   No Entanto, entrei no SIC e não tinha como opção a ABIN, por isso encaminho novamente a CGU providências para a resposta de um simples questionamento de quantos  Cargos Vagos e preenchidos constam de AGENTES DE INTELIGENCIA, visto que essa informação não é sigilosa conforme a Lei de Acesso a Informação.","   Prezada Senhora, Em atenção ao pedido de informação (NUP: 00700.000379/2019-89), este Serviço de Informação ao Cidadão do Gabinete de Segurança Institucional da Presidência da República (SIC-GSIPR) esclarece que a informação solicitada é passível de sigilo, conforme os Art 9º e 9ºA da Lei 9.883/1999, que institui o Sistema Brasileiro de Inteligência, cria a Agência Brasileira de Inteligência e dá outras providências:  Art. 9o Os atos da ABIN, cuja publicidade possa comprometer o êxito de suas atividades sigilosas, deverão ser publicados em extrato.  (...) Art. 9º A - Quaisquer informações ou documentos sobre as atividades e assuntos de inteligência produzidos, em curso ou sob a custódia da ABIN somente poderão ser fornecidos, às autoridades que tenham competência legal para solicitá-los, pelo Chefe do Gabinete de Segurança Institucional da Presidência da República, observado o respectivo grau de sigilo conferido com base na legislação em vigor, excluídos aqueles cujo sigilo seja imprescindível à segurança da sociedade e do Estado.  As informações acima foram disponibilizadas pelo Gabinete de Segurança Institucional da Presidência da República. Informamos que, de acordo com o art. 15 da Lei de Acesso à Informação (Lei nº 12.527/11) e com o art. 21 do Decreto 7.724/2012, há possibilidade de recurso no prazo de 10 (dez) dias, que será dirigido ao Secretário-Executivo Adjunto do Gabinete de Segurança Institucional da Presidência da República. Atenciosamente, Serviço de Informações ao Cidadão Palácio do Planalto - http://www2.planalto.gov.br/acesso-a-informacao/servico-de-informacao-ao-cidadao    "
35885,"Solicito, com base nos preceitos da Lei de Acesso à Informação, cópias dos documentos com informações desclassificadas pela Abin, que tratem de  Exército de Libertação Nacional (ELN) , em qualquer circunstância (relacionada a Colômbia, Venezuela, Brasil ou outro país vizinho).  Os períodos das desclassificações são os seguintes: 2016, 2017 e 2018.  O pedido, assim, diz respeito a informações que já não guardam sigilo, conforme decisão por desclassificação feita pela própria Abin, a informações específicas, sobre um recorte muito específico, o que é plenamente razoável, e a um período também razoável, de três anos.  Obrigado.","Prezado(a) Senhor(a), Em atenção ao pedido de informação (NUP: 00077.001537/2019-11), este Serviço de Informação ao Cidadão do Gabinete de Segurança Institucional da Presidência da República (SIC-GSIPR) esclarece que a despeito da argumentação, a referida demanda implica grande volume de trabalho de pesquisa e de análise, envolvendo mais de um departamento, além da Assessoria Jurídica, desviando inúmeros funcionários de seus trabalhos correntes, assim amparada na Lei de Acesso à Informação: Art. 13. Não serão atendidos pedidos de acesso à informação: (...) II - desproporcionais ou desarrazoados, ou III - que exijam trabalhos adicionais de análise, interpretação ou consolidação de dados e informações, ou serviço de produção ou tratamento de dados que não seja de competência do órgão ou entidade. As informações acima foram disponibilizadas pelo Gabinete de Segurança Institucional da Presidência da República. Salientamos que, de acordo com o art. 15 da Lei de Acesso à Informação (Lei nº 12.527/2011) e com o art. 21 do Decreto nº 7.724/2012, há possibilidade de recurso no prazo de 10 (dez) dias, que deverá ser dirigido ao Secretário-Executivo Adjunto do Gabinete de Segurança Institucional da Presidência da República. Atenciosamente, Serviço de Informação ao Cidadão Gabinete de Segurança Institucional da Presidência da República http://www2.planalto.gov.br/acesso-a-informacao/servico-de-informacao-ao-cidadao"
