,texto_pedido,texto_resposta
8782,Já fiz um cadastro no sistema SEI e gostaria de ter acesso ao processo 48340.006371.2018-16. ,"Em atenção à solicitação de Vossa Senhoria, segue resposta apresentada pela Secretaria de Planejamento e Desenvolvimento Energético - SPE:  Segundo a Lei nº 9.784/1999, constituem interessados no processo administrativo:   Art. 9º São legitimados como interessados no processo administrativo:    I - pessoas físicas ou jurídicas que o iniciem como titulares de direitos ou interesses individuais ou no exercício do direito de representação,    II - aqueles que, sem terem iniciado o processo, têm direitos ou interesses que possam ser afetados pela decisão a ser adotada,    III - as organizações e associações representativas, no tocante a direitos e interesses coletivos,    IV - as pessoas ou as associações legalmente constituídas quanto a direitos ou interesses difusos.  Em complementação, citamos o Decreto nº 7.724/2012 que regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a  informações. Art. 5º Sujeitam-se ao disposto neste Decreto os órgãos da administração direta, as autarquias, as fundações públicas, as empresas públicas, as sociedades de economia mista e as demais entidades controladas direta ou indiretamente pela União. § 2º Não se sujeitam ao disposto neste Decreto as informações relativas à atividade empresarial de pessoas físicas ou jurídicas de direito privado obtidas pelo Banco Central do Brasil, pelas agências reguladoras ou por outros órgãos ou entidades no exercício de atividade de controle, regulação e supervisão da atividade econômica cuja divulgação possa representar vantagem competitiva a outros agentes econômicos. Informo que o processo 48340.006371.2018-16, objeto da solicitação SEI nº 0253639, contém informações referentes à empresa Foz do Rio Claro Energia S.A. que se enquadram nos mencionados dispositivos. Nos termos do § 2º do art. 5º do Decreto 7.724/2012, o processo solicitado somente poderá ser disponibilizado a interessados responsáveis pelas empresas envolvidas, mediante a devida comprovação. Essa comprovação poderá ser realizada por meio de procuração ou ofício assinado pela autoridade competente no âmbito da empresa responsável pelo empreendimento. Assim, a fim de agilizar a cópia do processo, faz-se necessário que o pedido, via e-SIC, venha acompanhado da procuração ou do ofício em nome do solicitante  . O Serviço de Informação ao Cidadão do MME informa da possibilidade de interposição de recurso por meio do sistema e-SIC, no prazo de 10 (dez) dias a contar da sua ciência, conforme disposto no  caput  do artigo 15 da Lei nº 12.527/2011. Atenciosamente, Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC) Telefones: (61) 2032-5036, 2032-5363, 2032-5109 e 2032-5671    Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
15956,"Solicito, por favor, planilha com todos os ministros desta pasta que solicitaram o benefício do auxílio de mudança (ajuda de custo) para Brasília para sua posse, na maior série histórica possível de ministros, informando o valor por ministro. Se possível, informar o valor pedido por todos os ministros desde a sanção da lei que prevê esse benefício. Caso a resposta não caiba a esse órgão, favor encaminhá-la ao órgao competente para resposta, conforme o § 2o, artigo 10 da Lei de Acesso à Informação (Se a unidade descentralizada não detiver a informação, o pedido será encaminhado ao SIC do órgão ou entidade central, que comunicará ao requerente o número do protocolo e a data de recebimento do pedido, a partir da qual se inicia o prazo de resposta. ) Obrigado","Em atenção à solicitação de Vossa Senhoria, segue resposta apresentada pela Subsecretaria de Planejamento, Orçamento e Administração - SPOA:  Em atenção à Solicitação e-SIC Identidade Preservada, entendemos que a solicitação trata de pedidos genéricos, desproporcionais ou desarrazoados, que exijam trabalhos adicionais de análise, interpretação ou consolidação de dados e informações, ou serviço de produção ou tratamento de dados que não seja de competência do órgão ou entidade, conforme Art.13 do Decreto 7.724/2012. O Serviço de Informação ao Cidadão do MME informa da possibilidade de interposição de recurso por meio do sistema e-SIC, no prazo de 10 (dez) dias a contar da sua ciência, conforme disposto no  caput  do artigo 15 da Lei nº 12.527/2011.  Atenciosamente, Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC) Telefones: (61) 2032-5036, 2032-5363, 2032-5109 e 2032-5671     Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
35599,"Prezados,  Gostaria, por gentileza, de obter cópia do Processo Administrativo 48340.000272/2019-01.","Em atenção ao seu pedido de informação, segue resposta apresentada pela Secretaria de Planejamento e Desenvolvimento Energético - SPE:   Segundo a Lei nº 9.784/1999, constituem interessados no processo administrativo:   Art. 9º São legitimados como interessados no processo administrativo:  I - pessoas físicas ou jurídicas que o iniciem como titulares de direitos ou interesses individuais ou no exercício do direito de representação,    II - aqueles que, sem terem iniciado o processo, têm direitos ou interesses que possam ser afetados pela decisão a ser adotada,    III - as organizações e associações representativas, no tocante a direitos e interesses coletivos,    IV - as pessoas ou as associações legalmente constituídas quanto a direitos ou interesses difusos.  Em complementação, citamos o Decreto nº 7.724/2012 que regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações. Art. 5º Sujeitam-se ao disposto neste Decreto os órgãos da administração direta, as autarquias, as fundações públicas, as empresas públicas, as sociedades de economia mista e as demais entidades controladas direta ou indiretamente pela União. § 2º Não se sujeitam ao disposto neste Decreto as informações relativas à atividade empresarial de pessoas físicas ou jurídicas de direito privado obtidas pelo Banco Central do Brasil, pelas agências reguladoras ou por outros órgãos ou entidades no exercício de atividade de controle, regulação e supervisão da atividade econômica cuja divulgação possa representar vantagem competitiva a outros agentes econômicos. Informo que o processo 48340.000272/2019-01, objeto da sua solicitação, contém informações que se enquadram nos mencionados dispositivos, referentes às Usinas Eólicas - EOLs Vila Sergipe I, Vila Rio Grande do Norte I e Vila Rio Grande do Norte II. Nos termos do § 2º do art. 5º do Decreto 7.724/2012, o processo solicitado somente poderá ser disponibilizado a interessados responsáveis pelas empresas envolvidas, mediante a devida comprovação. Essa comprovação poderá ser realizada por meio de procuração ou ofício assinado pela autoridade competente no âmbito da empresa responsável pelo empreendimento. Assim, como requisito à disponibilização da cópia do processo, faz-se necessário que o pedido, via e-SIC, venha acompanhado da procuração ou do ofício em nome do solicitante.   O Serviço de Informação ao Cidadão do MME informa da possibilidade de interposição de recurso por meio do sistema e-SIC, no prazo de 10 (dez) dias a contar da sua ciência, conforme disposto no  caput  do artigo 15 da Lei nº 12.527/2011. Atenciosamente, Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC) Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
38152,"Solicito-lhes cópia do Processo nº 48300.002857/2017-62, que aborda os valores de indenização das usinas hidrelétricas São Simão e Miranda, visando obter elementos que possam contribuir nas avaliações da Eletronorte relativas ao processo de renovação da concessão de geração com base na Lei nº 12.783/2013.","Em atenção ao seu pedido de informação segue resposta: O processo requerido (Processo nº 48300.002857/2017-62) cuida de empresas concessionárias de geração e transmissão de prestação de serviços de energia elétrica e que somente poderá ser concedido mediante instrumento de procuração das referidas empresas de energia elétrica. De acordo com o que dispõe o art. 9º da Lei nº 9.784, de 29 de janeiro de 1999, que regula o processo administrativo no âmbito da Administração Pública Federal, constituem interessados no processo administrativo:  Art. 9º São legitimados como interessados no processo administrativo: I - pessoas físicas ou jurídicas que o iniciem como titulares de direitos ou interesses individuais ou no exercício do direito de representação, II - aqueles que, sem terem iniciado o processo, têm direitos ou interesses que possam ser afetados pela decisão a ser adotada, III - as organizações e associações representativas, no tocante a direitos e interesses coletivos, IV - as pessoas ou as associações legalmente constituídas quanto a direitos ou interesses difusos.   Ressalta-se que o Decreto nº 7.724, de 16 de maio de 2012, que regulamenta a Lei nº 12.527, de 18 de novembro de 2011, dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º, no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição, conforme segue:  Art. 5º Sujeitam-se ao disposto neste Decreto os órgãos da administração direta, as autarquias, as fundações públicas, as empresas públicas, as sociedades de economia mista e as demais entidades controladas direta ou indiretamente pela União. (...) § 2º Não se sujeitam ao disposto neste Decreto as informações relativas à atividade empresarial de pessoas físicas ou jurídicas de direito privado obtidas pelo Banco Central do Brasil, pelas agências reguladoras ou por outros órgãos ou entidades no exercício de atividade de controle, regulação e supervisão da atividade econômica cuja divulgação possa representar vantagem competitiva a outros agentes econômicos. O Serviço de Informação ao Cidadão do MME informa da possibilidade de interposição de recurso por meio do sistema e-SIC, no prazo de 10 (dez) dias a contar da sua ciência, conforme disposto no  caput  do artigo 15 da Lei nº 12.527/2011. Atenciosamente, Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC) Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
39064,"Gostaria de receber acesso pelo SEI para o login de  clarissa.leaolima@gmail.com , do processo que de Autorização de Importação de Gás Natural ou GNL, cujo interessado é a UTE GNA I GERAÇÃO DE ENERGIA LTDA, que na instrução na ANP recebeu o número 48610.008455/2018-59","Em atenção ao seu pedido de informação segue resposta: Atualmente a autorização em nome da empresa UTE GNA I está em processo de instrução dentro deste Ministério de Minas e Energia, dessa forma, por força do § 3&deg,, do art. 7&deg,, da Lei nº 12.527, de 18 de novembro de 2011, as informações constantes do processo instruído neste Ministério são de caráter restrito. Em relação ao acesso ao Processo 48610.008455/2018-59, informo que esse foi instruído pela Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP, devendo a solicitação ser realizada diretamente à Agência. O Serviço de Informação ao Cidadão do MME informa da possibilidade de interposição de recurso por meio do sistema e-SIC, no prazo de 10 (dez) dias a contar da sua ciência, conforme disposto no  caput  do artigo 15 da Lei nº 12.527/2011. Atenciosamente, Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
43964,"Solicito cópia integral do Processo nº 48340.002962/2018,  referido na Portaria SPE/MME nº 144, de 12,06.2019, que altera a garantia física das UHE Suíça, UHE Quebra Queixo e UHE Jirau","Em atenção à sua solicitação encaminhada à esta Ouvidoria Geral, segue resposta: Segundo a Lei nº 9.784/1999, constituem interessados no processo administrativo:   Art. 9º São legitimados como interessados no processo administrativo:    I - pessoas físicas ou jurídicas que o iniciem como titulares de direitos ou interesses individuais ou no exercício do direito de representação,    II - aqueles que, sem terem iniciado o processo, têm direitos ou interesses que possam ser afetados pela decisão a ser adotada,    III - as organizações e associações representativas, no tocante a direitos e interesses coletivos,    IV - as pessoas ou as associações legalmente constituídas quanto a direitos ou interesses difusos.   Em complementação, citamos o Decreto nº 7.724/2012 que regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações. Art. 5º Sujeitam-se ao disposto neste Decreto os órgãos da administração direta, as autarquias, as fundações públicas, as empresas públicas, as sociedades de economia mista e as demais entidades controladas direta ou indiretamente pela União. § 2º Não se sujeitam ao disposto neste Decreto as informações relativas à atividade empresarial de pessoas físicas ou jurídicas de direito privado obtidas pelo Banco Central do Brasil, pelas agências reguladoras ou por outros órgãos ou entidades no exercício de atividade de controle, regulação e supervisão da atividade econômica cuja divulgação possa representar vantagem competitiva a outros agentes econômicos. Informo que o processo 48340.002962/2018, objeto da solicitação, contém informações que se enquadram nos mencionados dispositivos, referentes às UHE Suíça, UHE Quebra Queixo e UHE Jirau. Nos termos do § 2º do art. 5º do Decreto 7.724/2012, o processo solicitado somente poderá ser disponibilizado a interessados responsáveis pelas empresas envolvidas, mediante a devida comprovação. Essa comprovação poderá ser realizada por meio de procuração ou ofício assinado pela autoridade competente no âmbito da empresa responsável pelo empreendimento. Assim, como requisito à disponibilização da cópia do processo, faz-se necessário que o pedido, via e-SIC, venha acompanhado da procuração ou do ofício em nome do solicitante. O Serviço de Informação ao Cidadão do MME informa da possibilidade de interposição de recurso por meio do sistema e-SIC, no prazo de 10 (dez) dias a contar da sua ciência, conforme disposto no  caput  do artigo 15 da Lei nº 12.527/2011. Atenciosamente, Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC) Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
49476,"Boa noite. Conforme orientação do recurso da demanda protocolo  48700004092201954 . Solicito a planilha em excel que deu origem ao valor final de bônus de outorga da UHE PORTO PRIMAVERA (processo CESP)? Além disso, com a memória de cálculo da amortização do bônus de outorga, custo de capital e por qual motivo o valor depreciado VNR não foi deflacionado no fluxo?","Em atenção à sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, segue resposta: Inicialmente, cumpre-nos ressaltar que o documento requerido pelo cidadão (planilha em formato Excel que deu origem ao valor final de bônus de outorga da UHE Porto Primavera) já foi disponibilizado em formato PDF no âmbito do Processo nº 48700.004092/2019-54, com o conteúdo que não faz parte do rol de informações ligadas à atividade empresarial da empresa concessionária de geração de energia elétrica. Cabe ressaltar que constituem interessados no processo administrativo, de acordo com o disposto no art. 9º da Lei nº 9.784, de 29 de janeiro de 1999, que regula o processo administrativo no âmbito da Administração Pública Federal:  Art. 9º São legitimados como interessados no processo administrativo:  I - pessoas físicas ou jurídicas que o iniciem como titulares de direitos ou interesses individuais ou no exercício do direito de representação,  II - aqueles que, sem terem iniciado o processo, têm direitos ou interesses que possam ser afetados pela decisão a ser adotada,  III - as organizações e associações representativas, no tocante a direitos e interesses coletivos,  IV - as pessoas ou as associações legalmente constituídas quanto a direitos ou interesses difusos.  Também se faz necessário reforçar o disposto no Decreto nº 7.724, de 16 de maio de 2012, que regulamenta a Lei nº 12.527, de 18 de novembro de 2011, e dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º, no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição:  Art. 5º Sujeitam-se ao disposto neste Decreto os órgãos da administração direta, as autarquias, as fundações públicas, as empresas públicas, as sociedades de economia mista e as demais entidades controladas direta ou indiretamente pela União. (...) § 2º Não se sujeitam ao disposto neste Decreto as informações relativas à atividade empresarial de pessoas físicas ou jurídicas de direito privado obtidas pelo Banco Central do Brasil, pelas agências reguladoras ou por outros órgãos ou entidades no exercício de atividade de controle, regulação e supervisão da atividade econômica cuja divulgação possa representar vantagem competitiva a outros agentes econômicos.   Assim sendo, há o entendimento de que demais dados encontram-se no âmbito da atividade empresarial da empresa licitada e foram fornecidos no bojo do processo licitatório exclusivamente para subsidiar o cálculo realizado para valoração da usina, e, portanto, somente podem ser concedidos mediante instrumento de procuração da empresa detentora da concessão de geração de energia elétrica. Por todo o exposto, informo que o conteúdo do presente documento só poderá ser disponibilizado ao interessado que apresentar a documentação necessária para a referida disponibilização. O Serviço de Informação ao Cidadão do MME informa da possibilidade de interposição de recurso por meio do sistema e-SIC, no prazo de 10 (dez) dias a contar da sua ciência, conforme disposto no  caput  do artigo 15 da Lei nº 12.527/2011.  Atenciosamente, Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
52510,"Em fevereiro, o governo federal assinou portaria que constituiu um Grupo de Trabalho (GT) para coordenar o desenvolvimento de estudos com o objetivo de subsidiar o processo de revisão do Anexo C ao Tratado de Itaipu.  Gostaria das seguintes informações em relação ao GT:  1) Período de vigência (eventuais extensões), 2) Formação do Grupo (órgão e nome do representante), 3) Reuniões realizadas pelo GT.  - data,  - lista de presentes (órgão/nome do representante), 4) Relação de entidades e associação convidadas para apresentações no GT.  5) Parecer elaborado pelo GT do Ministério das Minas e Energia. ","Em atenção à sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, segue resposta:  Sobre o assunto, ressalto que se trata do processo nº 48330.000500/2017-92 referente à formação de Grupo de Trabalho, interno do Ministério de Minas e Energia, para promover estudos para análise do Anexo C do Tratado de Itaipu. Assim, considerando que os estudos estão em fase de produção e, portanto, é considerado ato preparatório, nos termos do disposto no art. 20 do Decreto nº 7.724, de 16 de maio de 2012, que regulamenta a Lei nº 12.527, de 18 de novembro de 2011 – Lei de Acesso à Informação, informo que o referido processo não está disponível para acesso. O Serviço de Informação ao Cidadão do MME informa da possibilidade de interposição de recurso por meio do sistema e-SIC, no prazo de 10 (dez) dias a contar da sua ciência, conforme disposto no  caput  do artigo 15 da Lei nº 12.527/2011.   Atenciosamente, Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
53564,Solicita-se acesso ao pdf referente ao documento SICNET nº 48513.023413/2019-00.,"Em atenção à sua solicitação encaminhada à Agência Nacional de Energia Elétrica – ANEEL, e reencaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, e para que possamos verificar a possibilidade de atendimento de sua demanda, solicitamos gentileza de especificar o assunto inerente ao processo requerido, ou algum outro número de protocolo relacionado, uma vez que não estamos encontrando pelo número do protocolo solicitado. Atenciosamente, Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
54691,"Prezado,  1- solicito a relação com o nome, cargo e email de todos os servidores do órgão que possuem email institucional.   2- Solicito ainda, a relação de outros emails institucionais do órgão como canais de atendimento,  fale conosco’ e demais endereços eletrônicos do órgão.  OBS: Só para deixar mais claro a pergunta 1, eu quero saber o email institucional de todos os funcionários do órgão, incluindo funcionários concursados, comissionados, diretores, ministros - se houver - e demais colaboradores do órgão que possuam email institucional.  Obrigado ","Em atenção à sua solicitação encaminhada ao Serviço de Informação ao Cidadão - SIC, do Ministério de Minas e Energia – MME, informamos que o pedido em questão foi considerado desarrazoado nos termos do inciso II do art. 13 do Decreto n&deg, 7.724, de 12 de maio de 2012. Considera-se que a divulgação de todos os e-mails institucionais deste órgão não se trata de informação de interesse público na medida que, caso o cidadão deseje entrar em contato com o Ministério de Minas e Energia, os telefones e os e-mails institucionais dos principais cargos que compõem a estrutura administrativa deste Ministério, em conformidade com o inciso I do § 3º do art. 7º do Decreto 7.724/2012, estão disponíveis no site institucional e podem ser acessados por meio do link:  http://www.mme.gov.br/web/guest/quem-e-quem Demais canais pertinentes ao público também estão disponíveis no site institucional deste Ministério conforme links informados abaixo: http://www.mme.gov.br/web/guest/institucional/ouvidoria/registro-de-manifestacao http://www.mme.gov.br/web/guest/etica-cmme http://www.mme.gov.br/web/guest/acesso-a-informacao/institucional/horario-de-atendimento Por fim, cabe ressaltar que a principal finalidade dos e-mails institucionais é a comunicação interna da instituição, assim, não se prestam a estabelecer uma relação direta com o cidadão, uma vez que há canais específicos com essa destinação, conforme informado acima. O Serviço de Informação ao Cidadão do MME informa da possibilidade de interposição de recurso por meio do sistema e-SIC, no prazo de 10 (dez) dias a contar da sua ciência, conforme disposto no  caput  do artigo 15 da Lei nº 12.527/2011.  Atenciosamente, Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria"
